Course Name,Category
Business 141: Contemporary Business Communications,Basic Communication
English 101: Composition 1 - College Writing,Basic Communication
Speech 130: Public Speaking,Basic Communication
Speech 202: Interpersonal Communications,Basic Communication
Speech 330: Professional and Technical Speech,Basic Communication
Speech 331: Advanced Oral Communications,Basic Communication
Art 200: History of Graphic Design,Humanities
Art 201: Survey of Art History: Prehistoric Times through the Middle Ages,Humanities
Art 202: Survey of Art History: Early Renaissance to Present,Humanities
English 201: English Literature: Old English through the 18th Century,Humanities
English 202: English Literature: 19th Century to the Present,Humanities
English 203: American Literature: Beginnings to 1865,Humanities
English 204: American Literature: 1865 to the Present,Humanities
English 206: World Literature: Early Classics,Humanities
English 207: World Literature: The Moderns,Humanities
English 212: Introduction to Fiction,Humanities
English 307: Special Topics in Literature,Humanities
English 314: Major Authors in World Literature,Humanities
English 323: Major Authors in British Literature,Humanities
Mod. Lang. 304: French Culture and Civilization,Humanities
Mod. Lang. 306: Italian Culture and Civilization,Humanities
Mod. Lang. 310: Latin American Women Writers,Humanities
Mod. Lang. 311: Italian American Experiences,Humanities
Mod. Lang. 312: Contemporary Latin American Short Stories,Humanities
Mod Lang. 316: French Fables and Folktales,Humanities
Mod. Lang. 320: Latino Writers in the U.S.,Humanities
Mod. Lang. 322: The Latin American Novel,Humanities
Music 108: Survey of Western Music,Humanities
Philosophy 205: Ethics,Humanities
English 200: Shakespeare,The Arts
English 210: Introduction to Drama,The Arts
English 214: Introduction to Poetry,The Arts
English 216: Creative Writing,The Arts
English 225: Images of Women in Drama,The Arts
English 228: Classics and Mythology in Popular Culture,The Arts
English 240: Themes in Science Fiction in Film and Literature,The Arts
English 242: Film and Literature,The Arts
English 244: Classics of Supernatural Film and Literature,The Arts
English 266: Fantasy in Literature and Film,The Arts
English 319: Modern Drama and Euripides,The Arts
Mod. Lang. 300: International Cinema,The Arts
Mod. Lang. 301: Italian Cinema,The Arts
Mod. Lang. 302: Spanish and Latin American Cinema,The Arts
Mod. Lang. 303: French Cinema,The Arts
Mod. Lang. 307: French and Francophone Fiction and Film,The Arts
Mod. Lang. 309: Arabic Cinema,The Arts
Mod. Lang. 314: Hispanic Fiction to Film,The Arts
Theater 233: Introduction to Theatre,The Arts
Visual Comm 101: Introduction to Drawing,The Arts
Visual Comm 102: Interrelationship of Art & Music,The Arts
Visual Comm 103: Introduction to Watercolor,The Arts
Visual Comm 104: Introduction to Calligraphy,The Arts
Visual Comm 105: Introduction to Photography,The Arts
Visual Comm 106: Introduction to Pastels,The Arts
History 121: US History to Reconstruction,American History
History 122: US History Since Reconstruction,American History
Anthropology 130: North American Indians,Other World Civilizations
Anthropology 211: Caribbean Cultures,Other World Civilizations
History 117: World Civilization I,Other World Civilizations
History 118: World Civilization II,Other World Civilizations
Geography 211: The World and Its Peoples,Other World Civilizations
History 213: Peoples and Cultures of Asia,Other World Civilizations
History 215: The World of Islam,Other World Civilizations
History 216: History of Central Asia: From Genghis to Borat,Other World Civilizations
History 233: Comparative Religions and Cultures,Other World Civilizations
History 351: The Ottoman Empire and Modern Turkey,Other World Civilizations
Mod. Lang. 308: Arabic Culture and Civilization,Other World Civilizations
History 114: Western Civilization I,Western Civilization
History 115: Western Civilization II,Western Civilization
History 217: From Constantine to Columbus: Western Civilization in the Middle Ages,Western Civilization
Geography 231: Europe and Its Peoples,Western Civilization
Mod. Lang. 305: Hispanic and Latin American Culture and Civilization,Western Civilization
Politics 273: Italian Politics and Society,Western Civilization
Math 102: Elementary Discrete Mathematical Models,Mathematics
Math 107: Introduction to Mathematical Ideas,Mathematics
Math 110: Statistics,Mathematics
Math 116: College Algebra,Mathematics
Math 117: Precalculus Modeling for Life and Social Sciences,Mathematics
Math 129: Precalculus with Applications,Mathematics
Math 130: Calculus I with Applications,Mathematics
Math 236: Calculus II with Applications,Mathematics
Math 150: Calculus I,Mathematics
Math 151: Calculus II,Mathematics
Arabic 131: Arabic I (Elementary),Foreign Languages
Arabic 132: Arabic II (Elementary),Foreign Languages
Arabic 233: Arabic III (Intermediate),Foreign Languages
Arabic 234: Arabic IV (Intermediate),Foreign Languages
Chinese 151: Chinese I (Elementary),Foreign Languages
Chinese 152: Chinese II (Elementary),Foreign Languages
French 101: French I (Elementary),Foreign Languages
French 102: French II (Elementary),Foreign Languages
French 203: French III (Intermediate),Foreign Languages
French 204: French IV (Intermediate),Foreign Languages
German 111: German I (Elementary),Foreign Languages
German 112: German II (Elementary),Foreign Languages
German 213: German III (Intermediate),Foreign Languages
German 214: German IV (Intermediate),Foreign Languages
Italian 121: Italian I (Elementary),Foreign Languages
Italian 122: Italian II (Elementary),Foreign Languages
Italian 125: Italian for Business,Foreign Languages
Italian 223: Italian III (Intermediate),Foreign Languages
Italian 224: Italian IV (Intermediate),Foreign Languages
Spanish 141: Spanish I (Elementary),Foreign Languages
Spanish 142: Spanish II (Elementary),Foreign Languages
Spanish 145: Spanish for Medical Personnel,Foreign Languages
Spanish 243: Spanish III (Intermediate),Foreign Languages
Spanish 244: Spanish IV (Intermediate),Foreign Languages
Spanish 250: Spanish for Native Speakers,Foreign Languages
Spanish 251: Spanish Composition and Conversation,Foreign Languages
Anthropology 100: Introduction to Anthropology,Social and Behavioral Sciences
Anthropology 110: Sociocultural Anthropology,Social and Behavioral Sciences
Anthropology 210: Modern Anthropology and Globalization,Social and Behavioral Sciences
Economics 156: Principles of Economics (Macroeconomics),Social and Behavioral Sciences
Economics 157: Principles of Economics II (Microeconomic),Social and Behavioral Sciences
Economics 321: Engineering Economics,Social and Behavioral Sciences
Politics 105: Introduction to Politics,Social and Behavioral Sciences
Politics 250: American National Government,Social and Behavioral Sciences
Politics 251: State and Local Government,Social and Behavioral Sciences
Politics 262: Global Politics,Social and Behavioral Sciences
Politics 267: Politics of the Muslim World,Social and Behavioral Sciences
Psychology 101: Introduction to Psychology,Social and Behavioral Sciences
Psychology 232: Child Development,Social and Behavioral Sciences
Psychology 234: Social Psychology,Social and Behavioral Sciences
Psychology 238: Psychology of Human Sexuality,Social and Behavioral Sciences
Sociology 122: Introduction to Sociology,Social and Behavioral Sciences
Sociology 200: Introduction to Women's Studies,Social and Behavioral Sciences
Sociology 225: Sociology of the Family,Social and Behavioral Sciences
Sociology 226: Contemporary Marriage,Social and Behavioral Sciences
Sociology 228: Society and Health,Social and Behavioral Sciences
Sociology 229: Race and Ethnic Relations,Social and Behavioral Sciences
Sociology 231: Multiculturalism,Social and Behavioral Sciences
Sociology 238: Youth Culture,Social and Behavioral Sciences
Sociology 282: Introduction to LGBT Studies,Social and Behavioral Sciences
Biology 120: General Biology,Natural Sciences
Biology 123: Human Body in Health and Disease,Natural Sciences
Biology 125: Principles of Nutrition,Natural Sciences
Biology 130: Biological Principles I,Natural Sciences
Biology 131: Biological Principles II,Natural Sciences
Biology 135: Marine Science,Natural Sciences
Biology 166: Principles of Human Anatomy and Physiology,Natural Sciences
